firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
Pizza-Hut,44022, Job Searching,Former Employee,"Urbana, IL",3,4.0,4.0,,2.0,1.0,2.0,v,r,v,Good people but it's Pizza Hut,I liked my coworkers and made decent money on good tip days.,There is a lot of little annoyances that become draining there after a while. Not many major problems just enough such as never going home when you're scheduled off.
HSBC-Holdings,43277, Risk Management,"Former Employee, more than 5 years","Vancouver, BC",3,2.0,3.0,,2.0,4.0,2.0,v,v,r,It's pretty much all up to you,"Multicultural, flexible work, good pay and benefits, learning opportunities, some great people (if head leads by example), expertise level, technology is decent.","Career progression depends on face time and internal network, performance measured in work quantity less than quality, very bureaucratic, you're on your own."
CBRE,43053, Anonymous Employee,"Current Employee, more than 3 years","Toronto, ON",1,2.0,3.0,,1.0,2.0,2.0,x,r,v,Accountant,Aggressive in terms of expansion,"Significant discrimination over race and gender
Support staffs are not getting recognize
Underpaid compare to the market"
KPMG,44158, Student,Former Employee,Singapore,5,3.0,5.0,5.0,4.0,4.0,5.0,v,v,v,no,Helpful and completed training process,High intensity work makes it hard to balance work and life
SAP,40535, Vice President,Current Employee,"Newtown Square, PA",5,4.0,,,5.0,5.0,5.0,v,v,o,"Great place to work, grow, advance...","Great people
Serious renewed focus on innovation
Encouraged to step out and make your own path
Rewarded for performance
Weeding out the ""old guard""","Struggling to change from a process driven organization ( but making progress)
You can end up working your tail off
Big expectation that you deliver"
Deloitte,42138, Anonymous Employee,Current Employee,,4,2.0,5.0,,5.0,4.0,3.0,v,o,v,Senior Manager,"Very flexible working hours, collaborative culture","Long hours, sometimes decisions made by committee"
SAP,43159, Anonymous Employee,Current Employee,,5,,,,,,,o,o,o,Awesome company to work for,"flexibility 
learning
travel around the world",very much process oriented & too much change going on internally
IBM,44182, Senior Project Administrator,"Current Employee, more than 5 years",Bratislava,5,5.0,5.0,4.0,3.0,3.0,2.0,v,r,r,na,"work - family balance, horizontal management with agile, decision making to the squads","salaries still low, not accent set leadership positions for minorities - black, asian etc in slovakia"
Santander,44342, Investment Administrator,"Former Employee, less than 1 year","Glasgow, Scotland, Scotland",5,5.0,5.0,5.0,5.0,5.0,5.0,v,o,v,Would recommend,"Professional, corporate environment. There was a clear chain of command & I knew who to speak to if I needed assistance. They run a lot of charity events & I felt very comfortable in the office. Everyone was so friendly & helpful","Honestly I can't think of many, some of the work was a bit tedious (but this is expected in an admin job ) but that's all."
Unity-Technologies,41564, ,"Current Employee, more than 1 year","Brighton, England, England",5,5.0,5.0,,4.0,2.0,4.0,v,v,r,The best company I have worked for by a long shot.,"Incredibly friendly environment - It seems to be part of Unity's hiring policy that you can only get a job here if you are not only great at what you do, but are also a nice and friendly person.  I can honestly say I have not met anyone here who I really don't get on with.
Interesting work - The work I do is always interesting and varied.  I couldn't ask to do something I wanted more really.
Relaxed work ethic - I don't know if I speak for every team in the company (I think I do) but there is a feeling of get the work done and everything is okay.  As a result time working is fairly flexible.
Benefits - Occasionally my job calls for travel and this always makes for an interesting and pleasant experience.  We also have perks such as Beer Fridays where in the afternoon on Fridays some beers are bought for us and we have a PS3 in the office for those that choose to use it.","Pay - I am paid enough to survive and be fairly comfortable.  However, if I was to join another company doing a similar job, I'd probably be paid a little more.
Benefits - As the company grows, the opportunity for travel lessens.  It used to be that everyone in the company would attend the Unite company conference once a year but as of 2013 this is not the case any more.  In fact, I believe less than a third of employees were able to attend this year.  I understand this is a function of the company getting larger but nevertheless it is a benefit that is gradually being taken away.  With regards to normal benefits such as pension, stock options and others.  The UK office currently have none whereas the rest of the world do.  This however is being rectified as we have been told we will be getting some benefits soon."
PwC,42199, Anonymous Employee,"Former Employee, more than 1 year",Madrid,4,2.0,4.0,,4.0,3.0,3.0,v,o,o,Audit,Great for Learning how to manage your work and to work in groups,Hard work-life balance; willing to improve
Sky,43067, Sales Advisor,"Current Employee, less than 1 year","Livingston, Scotland, Scotland",4,3.0,5.0,,4.0,5.0,4.0,v,v,r,Stressful but rewarding!,"Amazing support from your team and manager, buzz events throughout the call centre to boost morale and the bonuses are great",Lots of stats and targets to meet which makes it very stressful at times.
J-P-Morgan,41114, ,Former Employee,,4,3.0,4.0,,3.0,4.0,3.0,v,v,r,"Get employer, if you wish to settle in your Career Development","Excellent benefits, looks good on your resume,  lots of free training available.","Career growth is encouraged, however advancing within the company is tough.  Hiring methods are unfair.  Many job postings are posted by managers, to follow protocol, after already knowing who they will hire."
Salesforce,43777, Enterprise Account Executive,"Current Employee, more than 3 years","Boston, MA",5,3.0,4.0,,5.0,5.0,4.0,v,v,v,Starting to see growing pains but still incredible place to work,Most recognized product stack in the industry that customers love and build their careers on.,Our internal complexities are sometimes difficult to shield from customers.
Dixons-Carphone,42927, Customer Consultant,"Current Employee, less than 1 year",,1,4.0,4.0,,3.0,5.0,2.0,x,v,r,Carphone Store in Store Currys PC World,Learning both sides of the business on how Currys PC World work.,"There are many cons in working in store in stores. I have worked for carphone for more than 5 years and this is my full 1st year in a Carphone within a Currys.

Let me tell you a little back story, I originally took the opportunity to open this store and get everything set up. Then I was offered a Team Leader position within the store however for Currys not carphone. I took the opportunity for progressional purposes within Carphone. I was a Team Leader for 10 months as I wasn't enough of a ""yes"" man for Dixons. I then demoted my position and transferred back to carphone within the same shop. This is where I went wrong.  Don't get me wrong, however there are some incredibly well performing store in stores however this store has never performed due to poor management since it first opened. There is no support from either carphone/Currys management so when the store is consistently not performing each and every carphone colleague will get a poor review and threatened that your job is it risk. I feel incredibly sorry for new staff members joining the business within store in stores which are low performing stores as there is literally no hope for them. When you ask wether you can transfer to the stand alone carphone stores they say that it's physically not possible and your transfer will be blocked. My career in carphone is potentially coming to an end as I have no option to progress due to poor performance in this store and there is no support in transferring back to a retail stand alone store."
Ryan-LLC,43943, Senior Administrative Assistant,"Current Employee, more than 10 years","Denver, CO",5,5.0,5.0,,4.0,5.0,5.0,v,v,v,Ryan Takes Care of Their Employees,"In early/mid March, our CEO Brint Ryan, asked for all of us to start working from home to help stop the spread of COVIDE-19. Since we have had MyRyan, a working from home policy, for awhile now our infrastructure was already in place to support us. We did have a few bumps at the beginning, but they where quickly fixed. This company is a great place to work and really supports it's employees, especially during these difficult times. We are able to work flexible hours due having kids, spouses and even parents at home with us.","Being an Administrative Assistant and not an Executive Assistant, sometime you feel overlooked."
J-P-Morgan,42448, ,Former Employee,,3,1.0,2.0,,3.0,1.0,1.0,x,r,r,Private client associate,"Underpaid and overworked, no overtime","Pension, vacation after five years, nice coworkers"
IBM,41656, Director,"Current Employee, more than 10 years",,4,3.0,4.0,,4.0,2.0,3.0,v,v,r,Lots of opportunity for mobility,Overseas transfer opportunities - opportunity to do work that matters - prestige of company gets meetings with client decision makers - solution portfolio is vast,"Salary decisions are based on averages - many are underpaid vs industry for similar work - quarterly pressure for results is dialed up - administrivia and internal bureaucracy is over the top - CEO is fantastic, though the surrounding SVPs are less so"
Waitrose,43772, Waitrose Supermarket Assistant,"Current Employee, more than 1 year","Alton, South East England, England, England",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,One of the kindest places to work,"Good overtime opportunities
Good team work ethic
Good Managers 
Always something to do
Room for progression and lots of training","They prefer part time to full time, so if you want a full time job you have to push and push."
Tesco,44175, Customer Assistant Tesco,Former Employee,"Sevenoaks, England, England",4,,,,,,,o,o,o,Glad to have worked for Tesco as my first job,Friendly staff and decent pay,Lack of adequate training sometimes
Macdonald-Hotels-and-Resorts,43299, Housekeeper,"Former Employee, more than 3 years","Tarporley, England, England",1,2.0,1.0,,1.0,1.0,1.0,x,x,x,There are better places to work!,Employees get free use of the gym and pool.,"Upper management.  The younger staff especially get ttreated badly by a childish restaurant manager.
The workload isn’t divided equally - some staff get away with doing nothing whilst others are running around like fools. 
The only decent manager there is the Head Housekeeper - the others are clueless.
One thing about the head housekeeper is they allow the foreign workers over 2 weeks off at a time whilst the English don’t get that privilege. 
Housekeeping workload is very heavy at times and they end up working late.   They even have to take breakfast trays back to the kitchen and glasses back to the bar. Why the restaurant and bar staff don’t collect them is unknown. 
Staff meals: not to criticise the chefs, but the meals 90% of the time have a side helping of chips.  
Sandwiches and a side salad would please everyone. 
Staff turnover there is unbelievable.  If they were treated better and not like dirt then you’d have more people staying. 
Spa doesn’t have a jacuzzi or hot tub. Or toilets on the Spa floor.  People have to go upstairs to the restaurant toilet or downstairs to the changing rooms.
Staff canteen is up two flights of stairs.  Just stupid considering you get half hour unpaid break and have to walk across the building just to get to the kitchen."
